PALMA,POV,UNEMP,UNDEREMP,TRV_FOR,TRV_DOM,COMPET,GDP_MFG,GDP_CONSTR,GDP_WRT,GDP_TRANSP,GDP_AFS,GDP_ICT,GDP_FIN,GDP_REOD,GDP_BUS,LDF,LDF_EXP,REV_TAX_RP,REV_TAX_BUS,VIS_GRP,MIN_GRP
1.06,29.6,3.852,6.888,1704,231504,29.7166,1.3,13.3,9.4,19.9,27.8,6.5,17.9,4.0,13.3,412.13,293.12,6.45E-05,1.81E-05,0,0
0.97,6.2,4.397,7.243,428704,1732198,32.9665,10.4,27.5,16.2,18.7,62.5,6.8,18.4,5.6,13.8,488.73,333.78,2.24E-04,3.42E-05,1,0
1.29,17.8,5.491,13.415,3284,146225,29.6861,10.4,37.7,15.9,24.4,44.3,7.7,16.6,6.1,16.8,524.44,333.65,1.07E-04,9.42E-06,1,0
0.86,14.4,4.038,5.444,2353,191677,30.3785,15.1,14.6,14.8,24.8,25.4,6.3,16.1,8.7,15.4,443.27,409.29,4.50E-05,4.41E-06,1,0
0.73,8.5,2.717,8.397,1072,132746,32.3026,11.4,18.1,18.0,9.7,35.6,9.8,11.6,6.1,16.0,908.55,736.23,1.85E-04,6.57E-06,1,0
1.27,18.1,4.908,22.439,13989,296329,31.9318,8.2,21.4,11.0,34.6,30.3,5.4,20.0,4.6,16.3,335.23,275.60,2.33E-04,1.08E-05,1,0
0.99,28.1,3.594,21.538,10933,683082,29.5693,6.8,20.1,13.1,23.7,41.6,6.7,15.3,10.1,13.5,354.60,228.19,6.92E-05,2.07E-05,1,0
1.24,23.1,3.391,13.760,325499,686875,30.0857,1.1,26.0,10.0,28.2,39.9,1.8,9.9,10.4,11.5,405.28,52.40,1.11E-04,1.20E-05,1,0
0.94,24.9,3.644,28.911,223805,790557,30.4593,3.5,15.0,10.2,15.1,24.2,5.0,12.8,8.8,14.4,290.91,330.34,1.61E-04,4.58E-05,1,0
1.76,22.2,2.513,7.065,34250,234597,28.7894,6.2,13.1,9.5,27.4,34.8,2.4,13.7,9.5,12.4,411.15,34.22,6.09E-05,2.26E-06,1,0
1.50,4.6,2.485,13.148,63831,105349,31.5838,3.8,12.1,13.5,43.1,28.8,5.6,9.9,6.5,10.9,1426.82,281.87,1.88E-04,6.33E-06,1,0
1.25,13.2,3.533,7.700,1548,22206,29.0622,9.2,18.3,11.7,49.1,41.2,7.3,9.3,2.8,9.9,922.92,836.07,4.23E-05,1.24E-05,1,0
1.18,35.6,3.632,6.843,153,31358,30.1986,5.6,11.9,14.1,49.6,19.3,5.6,14.6,7.5,8.8,671.97,92.42,3.10E-05,6.60E-06,1,0
1.11,22.7,3.711,8.837,7994,166685,29.8942,5.5,8.6,14.3,47.2,20.0,8.1,12.3,4.0,11.1,318.52,175.41,6.85E-05,1.90E-05,1,0
1.06,27.5,1.782,12.995,436,192743,30.1859,4.2,12.6,11.5,32.8,27.6,7.9,9.0,6.6,13.2,528.17,428.11,5.21E-05,1.30E-05,1,0
1.25,35.8,5.411,6.167,3347,290281,30.7364,-4.1,16.3,11.5,22.2,33.2,6.2,9.2,3.7,8.7,552.15,334.11,1.81E-05,3.80E-06,1,0
1.07,16.6,4.961,9.884,3537,214436,28.0731,2.8,10.4,14.4,35.1,29.3,8.3,7.2,3.2,11.8,569.35,409.98,4.31E-05,2.02E-05,1,0
1.23,38.9,2.152,15.140,11119,402982,28.6283,-5.1,17.7,12.5,27.0,24.1,6.9,16.1,6.3,12.2,524.26,422.85,4.98E-05,7.60E-06,0,1
1.58,26.3,3.200,3.793,106,84645,30.8735,0.3,24.3,9.0,37.7,11.5,5.0,15.8,9.8,12.4,454.27,102.66,6.73E-05,2.73E-05,0,1
1.66,26.9,4.792,3.506,65,8612,28.5329,6.3,20.8,11.2,40.3,25.0,11.7,16.4,4.1,15.1,522.73,269.35,3.47E-05,1.02E-05,0,1
1.05,28.0,6.864,7.538,1745,527927,31.5758,-4.2,12.7,12.0,21.4,19.6,3.4,20.5,10.3,13.2,488.56,183.40,1.41E-04,2.23E-05,0,1
1.17,10.6,2.604,19.252,12828,246182,38.6194,4.3,17.4,10.9,79.6,21.6,4.8,17.2,7.4,11.4,1496.15,1276.98,1.21E-04,2.74E-05,0,1
1.51,30.5,3.850,9.052,407,59536,30.9300,4.1,15.7,17.0,32.1,20.5,7.0,18.7,7.2,8.3,467.66,366.07,2.46E-04,8.51E-06,0,1
1.39,29.2,4.774,6.353,787,206212,30.4893,1.0,20.5,13.0,76.5,21.8,5.5,11.9,10.0,7.9,485.70,112.27,6.85E-05,5.16E-05,0,1
0.95,18.1,3.321,4.639,2354,349483,33.8454,3.0,14.2,14.2,28.2,22.5,6.5,18.4,5.1,7.9,423.16,372.58,2.95E-04,4.24E-05,0,1
1.00,14.3,2.515,21.854,3146,521439,33.6497,14.0,13.3,17.0,32.8,5.9,9.0,14.2,8.1,11.5,522.46,318.59,1.06E-04,3.23E-05,0,1
0.79,14.5,2.608,13.823,2045,368642,40.5691,5.3,17.3,13.7,15.8,11.8,9.9,16.8,5.3,14.2,430.52,440.41,7.25E-05,1.50E-05,0,1
1.21,19.7,1.992,5.585,14732,206887,36.6047,5.5,12.2,15.9,28.0,7.9,9.6,18.6,11.5,13.9,447.40,457.26,2.54E-04,3.88E-06,0,1
1.05,24.4,2.021,28.104,1,32374,31.2054,11.9,9.8,13.8,29.3,17.1,9.8,15.8,1.7,13.8,696.42,800.58,2.52E-04,3.94E-06,0,1
0.86,38.9,3.834,16.823,1705,785079,32.4541,4.2,10.1,10.8,28.9,9.8,9.6,20.3,8.6,14.8,653.75,465.16,7.33E-05,9.91E-06,0,1
1.53,25.2,3.362,3.952,2,233120,34.8153,3.6,20.6,11.4,23.0,28.9,7.2,14.1,7.6,12.9,181.15,170.47,9.02E-05,1.81E-05,0,1
1.01,30.3,1.828,11.393,36,309111,54.5067,2.8,26.2,16.7,13.3,19.3,7.3,13.8,4.6,10.7,567.28,158.08,3.62E-05,2.21E-05,0,1
1.16,14.0,3.523,12.289,892,392862,34.9074,4.5,17.6,11.1,12.5,14.5,6.2,16.7,14.1,11.1,427.34,239.09,1.80E-04,2.31E-05,0,1
1.07,20.8,3.917,31.075,236,150505,29.3118,2.7,9.2,9.4,10.9,22.9,7.7,6.9,5.4,11.5,717.13,371.66,6.17E-05,4.26E-05,0,1
1.14,25.9,1.565,7.901,349,102969,30.9635,0.0,6.0,11.1,11.3,21.1,5.1,11.1,10.7,9.5,754.71,469.59,1.07E-04,2.24E-05,0,1
1.18,30.7,4.268,12.468,682,22150,29.1051,-5.0,8.5,9.3,18.1,15.2,3.9,11.0,11.2,9.9,1300.78,870.72,7.63E-05,8.08E-06,0,1
1.18,12.5,5.094,13.733,56416,648155,32.5826,-4.3,9.8,8.3,25.0,15.5,6.2,13.6,6.7,12.5,520.84,351.37,1.08E-04,7.75E-06,0,1
0.89,20.1,2.167,4.154,1143,278007,28.1913,2.2,6.0,10.1,6.7,15.4,4.4,11.6,11.2,10.7,629.28,568.59,8.19E-05,1.86E-05,0,1
